#OLD_LOCUS,NEW_LOCUS,UPDATE_TYPE,UPDATE_DETAIL
            FGSG_00036.3,FGSG_00036.2,UNCHANGED,
            FGSG_00038.3,FGSG_00038.2,UNCHANGED,
            FGSG_00039.3,FGSG_00039.2,UNCHANGED,
            FGSG_00040.3,FGSG_00040.2,UNCHANGED,
            FGSG_00043.3,FGSG_00043.2,UNCHANGED,
            FGSG_00044.3,FGSG_00044.2,UNCHANGED,
            FGSG_00045.3,FGSG_00045.2,UNCHANGED,
            FGSG_00046.3,FGSG_00046.2,UNCHANGED,
            FGSG_00047.3,FGSG_00047.2,UNCHANGED,
            FGSG_00048.3,FGSG_00048.2,UNCHANGED,
            FGSG_00049.3,FGSG_00049.2,UNCHANGED,
            FGSG_00050.3,FGSG_00050.2,UNCHANGED,
            FGSG_00051.3,FGSG_00051.2,UNCHANGED,
            FGSG_00052.3,FGSG_00052.2,UNCHANGED,
            FGSG_00053.3,FGSG_00053.2,UNCHANGED,
            FGSG_00054.3,FGSG_00054.2,UNCHANGED,
            FGSG_00055.3,FGSG_00055.2,UNCHANGED,
            FGSG_00056.3,FGSG_00056.2,UNCHANGED,
            FGSG_00058.3,FGSG_00058.2,UNCHANGED,
            FGSG_00059.3,FGSG_00059.2,UNCHANGED,
            FGSG_00060.3,FGSG_00060.2,UNCHANGED,
            FGSG_00061.3,FGSG_00061.2,UNCHANGED,
            FGSG_00062.3,FGSG_00062.2,UNCHANGED,
            FGSG_00063.3,FGSG_00063.2,UNCHANGED,
            FGSG_00064.3,FGSG_00064.2,UNCHANGED,
            FGSG_00065.3,FGSG_00065.2,UNCHANGED,
            FGSG_00066.3,FGSG_00066.2,UNCHANGED,
            FGSG_00067.3,FGSG_00067.2,UNCHANGED,
            FGSG_00068.3,FGSG_00068.2,UNCHANGED,
            FGSG_00069.3,FGSG_00069.2,UNCHANGED,
            FGSG_00070.3,FGSG_00070.2,UNCHANGED,
            FGSG_00071.3,FGSG_00071.2,UNCHANGED,
            FGSG_00072.3,FGSG_00072.2,UNCHANGED,
            FGSG_00073.3,FGSG_00073.2,UNCHANGED,
            FGSG_00074.3,FGSG_00074.2,UNCHANGED,
            FGSG_00075.3,FGSG_00075.2,UNCHANGED,
            FGSG_00076.3,FGSG_00076.2,UNCHANGED,
            FGSG_00077.3,FGSG_00077.2,UNCHANGED,
            FGSG_00078.3,FGSG_00078.2,UNCHANGED,
            FGSG_00079.3,FGSG_00079.2,UNCHANGED,
            FGSG_00080.3,FGSG_00080.2,UNCHANGED,
            FGSG_00081.3,FGSG_00081.2,UNCHANGED,
            FGSG_00082.3,FGSG_00082.2,UNCHANGED,
            FGSG_00083.3,FGSG_00083.2,UNCHANGED,
            FGSG_00084.3,FGSG_00084.2,UNCHANGED,
            FGSG_00085.3,FGSG_00085.2,UNCHANGED,
            FGSG_00087.3,FGSG_00087.2,UNCHANGED,
            FGSG_00089.3,FGSG_00089.2,UNCHANGED,
            FGSG_00090.3,FGSG_00090.2,UNCHANGED,
            FGSG_00091.3,FGSG_00091.2,UNCHANGED,
            FGSG_00092.3,FGSG_00092.2,UNCHANGED,
            FGSG_00093.3,FGSG_00093.2,UNCHANGED,
            FGSG_00094.3,FGSG_00094.2,UNCHANGED,
            FGSG_00095.3,FGSG_00095.2,UNCHANGED,
            FGSG_00096.3,FGSG_00096.2,UNCHANGED,
            FGSG_00097.3,FGSG_00097.2,UNCHANGED,
            FGSG_00099.3,FGSG_00099.2,UNCHANGED,
            FGSG_00100.3,FGSG_00100.2,UNCHANGED,
            FGSG_00101.3,FGSG_00101.2,UNCHANGED,
            FGSG_00102.3,FGSG_00102.2,UNCHANGED,
            FGSG_00103.3,FGSG_00103.2,UNCHANGED,
            FGSG_00104.3,FGSG_00104.2,UNCHANGED,
            FGSG_00105.3,FGSG_00105.2,UNCHANGED,
            FGSG_00107.3,FGSG_00107.2,UNCHANGED,
            FGSG_00108.3,FGSG_00108.2,UNCHANGED,
            FGSG_00109.3,FGSG_00109.2,UNCHANGED,
            FGSG_00110.3,FGSG_00110.2,UNCHANGED,
            FGSG_00111.3,FGSG_00111.2,UNCHANGED,
            FGSG_00112.3,FGSG_00112.2,UNCHANGED,
            FGSG_00114.3,FGSG_00114.2,UNCHANGED,
            FGSG_00115.3,FGSG_00115.2,UNCHANGED,
            FGSG_00116.3,FGSG_00116.2,UNCHANGED,
            FGSG_00117.3,FGSG_00117.2,UNCHANGED,
            FGSG_00118.3,FGSG_00118.2,UNCHANGED,
            FGSG_00119.3,FGSG_00119.2,UNCHANGED,
            FGSG_00120.3,FGSG_00120.2,UNCHANGED,
            FGSG_00121.3,FGSG_00121.2,UNCHANGED,
            FGSG_00122.3,FGSG_00122.2,UNCHANGED,
            FGSG_00123.3,FGSG_00123.2,UNCHANGED,
            FGSG_00124.3,FGSG_00124.2,UNCHANGED,
            FGSG_00125.3,FGSG_00125.2,UNCHANGED,
            FGSG_00126.3,FGSG_00126.2,UNCHANGED,
            FGSG_00127.3,FGSG_00127.2,UNCHANGED,
            FGSG_00128.3,FGSG_00128.2,UNCHANGED,
            FGSG_00129.3,FGSG_00129.2,UNCHANGED,
            FGSG_00130.3,FGSG_00130.2,UNCHANGED,
            FGSG_00131.3,FGSG_00131.2,UNCHANGED,
            FGSG_00132.3,FGSG_00132.2,UNCHANGED,
            FGSG_00134.3,FGSG_00134.2,UNCHANGED,
            FGSG_00135.3,FGSG_00135.2,UNCHANGED,
            FGSG_00136.3,FGSG_00136.2,UNCHANGED,
            FGSG_00137.3,FGSG_00137.2,UNCHANGED,
            FGSG_00138.3,FGSG_00138.2,UNCHANGED,
            FGSG_00139.3,FGSG_00139.2,UNCHANGED,
            FGSG_00140.3,FGSG_00140.2,UNCHANGED,
            FGSG_00141.3,FGSG_00141.2,UNCHANGED,
            FGSG_00142.3,FGSG_00142.2,UNCHANGED,
            FGSG_00143.3,FGSG_00143.2,UNCHANGED,
            FGSG_00144.3,FGSG_00144.2,UNCHANGED,
            FGSG_00145.3,FGSG_00145.2,UNCHANGED,
            FGSG_00147.3,FGSG_00147.2,UNCHANGED,
            FGSG_00148.3,FGSG_00148.2,UNCHANGED,
            FGSG_00150.3,FGSG_00150.2,UNCHANGED,
            FGSG_00151.3,FGSG_00151.2,UNCHANGED,
            FGSG_00152.3,FGSG_00152.2,UNCHANGED,
            FGSG_00153.3,FGSG_00153.2,UNCHANGED,
            FGSG_00154.3,FGSG_00154.2,UNCHANGED,
            FGSG_00156.3,FGSG_00156.2,UNCHANGED,
            FGSG_00157.3,FGSG_00157.2,UNCHANGED,
            FGSG_00158.3,FGSG_00158.2,UNCHANGED,
            FGSG_00160.3,FGSG_00160.2,UNCHANGED,
            FGSG_00161.3,FGSG_00161.2,UNCHANGED,
            FGSG_00162.3,FGSG_00162.2,UNCHANGED,
            FGSG_00163.3,FGSG_00163.2,UNCHANGED,
            FGSG_00164.3,FGSG_00164.2,UNCHANGED,
            FGSG_00165.3,FGSG_00165.2,UNCHANGED,
            FGSG_00166.3,FGSG_00166.2,UNCHANGED,
            FGSG_00168.3,FGSG_00168.2,UNCHANGED,
            FGSG_00169.3,FGSG_00169.2,UNCHANGED,
            FGSG_00170.3,FGSG_00170.2,UNCHANGED,
            FGSG_00171.3,FGSG_00171.2,UNCHANGED,
            FGSG_00172.3,FGSG_00172.2,UNCHANGED,
            FGSG_00173.3,FGSG_00173.2,UNCHANGED,
            FGSG_00174.3,FGSG_00174.2,UNCHANGED,
            FGSG_00175.3,FGSG_00175.2,UNCHANGED,
            FGSG_00176.3,FGSG_00176.2,UNCHANGED,
            FGSG_00177.3,FGSG_00177.2,UNCHANGED,
            FGSG_00179.3,FGSG_00179.2,UNCHANGED,
            FGSG_00180.3,FGSG_00180.2,UNCHANGED,
            FGSG_00181.3,FGSG_00181.2,UNCHANGED,
            FGSG_00182.3,FGSG_00182.2,UNCHANGED,
            FGSG_00183.3,FGSG_00183.2,UNCHANGED,
            FGSG_00184.3,FGSG_00184.2,UNCHANGED,
            FGSG_00185.3,FGSG_00185.2,UNCHANGED,
            FGSG_00186.3,FGSG_00186.2,UNCHANGED,
            FGSG_00188.3,FGSG_00188.2,UNCHANGED,
            FGSG_00189.3,FGSG_00189.2,UNCHANGED,
            FGSG_00190.3,FGSG_00190.2,UNCHANGED,
            FGSG_00192.3,FGSG_00192.2,UNCHANGED,
            FGSG_00193.3,FGSG_00193.2,UNCHANGED,
            FGSG_00194.3,FGSG_00194.2,UNCHANGED,
            FGSG_00195.3,FGSG_00195.2,UNCHANGED,
            FGSG_00196.3,FGSG_00196.2,UNCHANGED,
            FGSG_00197.3,FGSG_00197.2,UNCHANGED,
            FGSG_00198.3,FGSG_00198.2,UNCHANGED,
            FGSG_00199.3,FGSG_00199.2,UNCHANGED,
            FGSG_00200.3,FGSG_00200.2,UNCHANGED,
            FGSG_00201.3,FGSG_00201.2,UNCHANGED,
            FGSG_00203.3,FGSG_00203.2,UNCHANGED,
            FGSG_00205.3,FGSG_00205.2,UNCHANGED,
            FGSG_00206.3,FGSG_00206.2,UNCHANGED,
            FGSG_00207.3,FGSG_00207.2,UNCHANGED,
            FGSG_00208.3,FGSG_00208.2,UNCHANGED,
            FGSG_00209.3,FGSG_00209.2,UNCHANGED,
            FGSG_00210.3,FGSG_00210.2,UNCHANGED,
            FGSG_00211.3,FGSG_00211.2,UNCHANGED,
            FGSG_00212.3,FGSG_00212.2,UNCHANGED,
            FGSG_00213.3,FGSG_00213.2,UNCHANGED,
            FGSG_00214.3,FGSG_00214.2,UNCHANGED,
            FGSG_00215.3,FGSG_00215.2,UNCHANGED,
            FGSG_00216.3,FGSG_00216.2,UNCHANGED,
            FGSG_00217.3,FGSG_00217.2,UNCHANGED,
            FGSG_00218.3,FGSG_00218.2,UNCHANGED,
            FGSG_00219.3,FGSG_00219.2,UNCHANGED,
            FGSG_00220.3,FGSG_00220.2,UNCHANGED,
            FGSG_00221.3,FGSG_00221.2,UNCHANGED,
            FGSG_00222.3,FGSG_00222.2,UNCHANGED,
            FGSG_00224.3,FGSG_00224.2,UNCHANGED,
            FGSG_00225.3,FGSG_00225.2,UNCHANGED,
            FGSG_00226.3,FGSG_00226.2,UNCHANGED,
            FGSG_00227.3,FGSG_00227.2,UNCHANGED,
            FGSG_00229.3,FGSG_00229.2,UNCHANGED,
            FGSG_00230.3,FGSG_00230.2,UNCHANGED,
            FGSG_00231.3,FGSG_00231.2,UNCHANGED,
            FGSG_00232.3,FGSG_00232.2,UNCHANGED,
            FGSG_00233.3,FGSG_00233.2,UNCHANGED,
            FGSG_00234.3,FGSG_00234.2,UNCHANGED,
            FGSG_00235.3,FGSG_00235.2,UNCHANGED,
            FGSG_00236.3,FGSG_00236.2,UNCHANGED,
            FGSG_00237.3,FGSG_00237.2,UNCHANGED,
            FGSG_00239.3,FGSG_00239.2,UNCHANGED,
            FGSG_00240.3,FGSG_00240.2,UNCHANGED,
            FGSG_00242.3,FGSG_00242.2,UNCHANGED,
            FGSG_00243.3,FGSG_00243.2,UNCHANGED,
            FGSG_00245.3,FGSG_00245.2,UNCHANGED,
            FGSG_00246.3,FGSG_00246.2,UNCHANGED,
            FGSG_00247.3,FGSG_00247.2,UNCHANGED,
            FGSG_00248.3,FGSG_00248.2,UNCHANGED,
            FGSG_00249.3,FGSG_00249.2,UNCHANGED,
            FGSG_00251.3,FGSG_00251.2,UNCHANGED,
            FGSG_00252.3,FGSG_00252.2,UNCHANGED,
            FGSG_00253.3,FGSG_00253.2,UNCHANGED,
            FGSG_00254.3,FGSG_00254.2,UNCHANGED,
            FGSG_00255.3,FGSG_00255.2,UNCHANGED,
            FGSG_00256.3,FGSG_00256.2,UNCHANGED,
            FGSG_00257.3,FGSG_00257.2,UNCHANGED,
            FGSG_00258.3,FGSG_00258.2,UNCHANGED,
            FGSG_00259.3,FGSG_00259.2,UNCHANGED,
            FGSG_00260.3,FGSG_00260.2,UNCHANGED,
            FGSG_00261.3,FGSG_00261.2,UNCHANGED,
            FGSG_00262.3,FGSG_00262.2,UNCHANGED,
            FGSG_00263.3,FGSG_00263.2,UNCHANGED,
            FGSG_00264.3,FGSG_00264.2,UNCHANGED,
            FGSG_00265.3,FGSG_00265.2,UNCHANGED,
            FGSG_00266.3,FGSG_00266.2,UNCHANGED,
            FGSG_00267.3,FGSG_00267.2,UNCHANGED,
            FGSG_00268.3,FGSG_00268.2,UNCHANGED,
            FGSG_00269.3,FGSG_00269.2,UNCHANGED,
            FGSG_00270.3,FGSG_00270.2,UNCHANGED,
            FGSG_00271.3,FGSG_00271.2,UNCHANGED,
            FGSG_00272.3,FGSG_00272.2,UNCHANGED,
            FGSG_00273.3,FGSG_00273.2,UNCHANGED,
            FGSG_00274.3,FGSG_00274.2,UNCHANGED,
            FGSG_00275.3,FGSG_00275.2,UNCHANGED,
            FGSG_00276.3,FGSG_00276.2,UNCHANGED,
            FGSG_00277.3,FGSG_00277.2,UNCHANGED,
            FGSG_00278.3,FGSG_00278.2,UNCHANGED,
            FGSG_00279.3,FGSG_00279.2,UNCHANGED,
            FGSG_00280.3,FGSG_00280.2,UNCHANGED,
            FGSG_00281.3,FGSG_00281.2,UNCHANGED,
            FGSG_00282.3,FGSG_00282.2,UNCHANGED,
            FGSG_00283.3,FGSG_00283.2,UNCHANGED,
            FGSG_00284.3,FGSG_00284.2,UNCHANGED,
            FGSG_00285.3,FGSG_00285.2,UNCHANGED,
            FGSG_00286.3,FGSG_00286.2,UNCHANGED,
            FGSG_00287.3,FGSG_00287.2,UNCHANGED,
            FGSG_00288.3,FGSG_00288.2,UNCHANGED,
            FGSG_00289.3,FGSG_00289.2,UNCHANGED,
            FGSG_00291.3,FGSG_00291.2,UNCHANGED,
            FGSG_00292.3,FGSG_00292.2,UNCHANGED,
            FGSG_00293.3,FGSG_00293.2,UNCHANGED,
            FGSG_00294.3,FGSG_00294.2,UNCHANGED,
            FGSG_00295.3,FGSG_00295.2,UNCHANGED,
            FGSG_00296.3,FGSG_00296.2,UNCHANGED,
            FGSG_00297.3,FGSG_00297.2,UNCHANGED,
            FGSG_00298.3,FGSG_00298.2,UNCHANGED,
            FGSG_00299.3,FGSG_00299.2,UNCHANGED,
            FGSG_00300.3,FGSG_00300.2,UNCHANGED,
            FGSG_00301.3,FGSG_00301.2,UNCHANGED,
            FGSG_00302.3,FGSG_00302.2,UNCHANGED,
            FGSG_00303.3,FGSG_00303.2,UNCHANGED,
            FGSG_00304.3,FGSG_00304.2,UNCHANGED,
            FGSG_00305.3,FGSG_00305.2,UNCHANGED,
            FGSG_00306.3,FGSG_00306.2,UNCHANGED,
            FGSG_00307.3,FGSG_00307.2,UNCHANGED,
            FGSG_00308.3,FGSG_00308.2,UNCHANGED,
            FGSG_00309.3,FGSG_00309.2,UNCHANGED,
            FGSG_00310.3,FGSG_00310.2,UNCHANGED,
            FGSG_00311.3,FGSG_00311.2,UNCHANGED,
            FGSG_00312.3,FGSG_00312.2,UNCHANGED,
            FGSG_00313.3,FGSG_00313.2,UNCHANGED,
            FGSG_00314.3,FGSG_00314.2,UNCHANGED,
            FGSG_00315.3,FGSG_00315.2,UNCHANGED,
            FGSG_00316.3,FGSG_00316.2,UNCHANGED,
            FGSG_00317.3,FGSG_00317.2,UNCHANGED,
            FGSG_00318.3,FGSG_00318.2,UNCHANGED,
            FGSG_00319.3,FGSG_00319.2,UNCHANGED,
            FGSG_00320.3,FGSG_00320.2,UNCHANGED,
            FGSG_00321.3,FGSG_00321.2,UNCHANGED,
            FGSG_00322.3,FGSG_00322.2,UNCHANGED,
            FGSG_00323.3,FGSG_00323.2,UNCHANGED,
            FGSG_00324.3,FGSG_00324.2,UNCHANGED,
            FGSG_00325.3,FGSG_00325.2,UNCHANGED,
            FGSG_00326.3,FGSG_00326.2,UNCHANGED,
            FGSG_00327.3,FGSG_00327.2,UNCHANGED,
            FGSG_00328.3,FGSG_00328.2,UNCHANGED,
            FGSG_00329.3,FGSG_00329.2,UNCHANGED,
            FGSG_00330.3,FGSG_00330.2,UNCHANGED,
            FGSG_00331.3,FGSG_00331.2,UNCHANGED,
            FGSG_00332.3,FGSG_00332.2,UNCHANGED,
            FGSG_00333.3,FGSG_00333.2,UNCHANGED,
            FGSG_00334.3,FGSG_00334.2,UNCHANGED,
            FGSG_00335.3,FGSG_00335.2,UNCHANGED,
            FGSG_00336.3,FGSG_00336.2,UNCHANGED,
            FGSG_00337.3,FGSG_00337.2,UNCHANGED,
            FGSG_00338.3,FGSG_00338.2,UNCHANGED,
            FGSG_00339.3,FGSG_00339.2,UNCHANGED,
            FGSG_00340.3,FGSG_00340.2,UNCHANGED,
            FGSG_00342.3,FGSG_00342.2,UNCHANGED,
            FGSG_00343.3,FGSG_00343.2,UNCHANGED,
            FGSG_00344.3,FGSG_00344.2,UNCHANGED,
            FGSG_00345.3,FGSG_00345.2,UNCHANGED,
            FGSG_00346.3,FGSG_00346.2,UNCHANGED,
            FGSG_00347.3,FGSG_00347.2,UNCHANGED,
            FGSG_00348.3,FGSG_00348.2,UNCHANGED,
            FGSG_00349.3,FGSG_00349.2,UNCHANGED,
            FGSG_00350.3,FGSG_00350.2,UNCHANGED,
            FGSG_00351.3,FGSG_00351.2,UNCHANGED,
            FGSG_00352.3,FGSG_00352.2,UNCHANGED,
            FGSG_00353.3,FGSG_00353.2,UNCHANGED,
            FGSG_00354.3,FGSG_00354.2,UNCHANGED,
            FGSG_00355.3,FGSG_00355.2,UNCHANGED,
            FGSG_00357.3,FGSG_00357.2,UNCHANGED,
            FGSG_00358.3,FGSG_00358.2,UNCHANGED,
            FGSG_00359.3,FGSG_00359.2,UNCHANGED,
            FGSG_00360.3,FGSG_00360.2,UNCHANGED,
            FGSG_00361.3,FGSG_00361.2,UNCHANGED,
            FGSG_00362.3,FGSG_00362.2,UNCHANGED,
            FGSG_00363.3,FGSG_00363.2,UNCHANGED,
            FGSG_00364.3,FGSG_00364.2,UNCHANGED,
            FGSG_00365.3,FGSG_00365.2,UNCHANGED,
            FGSG_00366.3,FGSG_00366.2,UNCHANGED,
            FGSG_00367.3,FGSG_00367.2,UNCHANGED,
            FGSG_00368.3,FGSG_00368.2,UNCHANGED,
            FGSG_00369.3,FGSG_00369.2,UNCHANGED,
            FGSG_00370.3,FGSG_00370.2,UNCHANGED,
            FGSG_00371.3,FGSG_00371.2,UNCHANGED,
            FGSG_00372.3,FGSG_00372.2,UNCHANGED,
            FGSG_00373.3,FGSG_00373.2,UNCHANGED,
            FGSG_00374.3,FGSG_00374.2,UNCHANGED,
            FGSG_00375.3,FGSG_00375.2,UNCHANGED,
            FGSG_00376.3,FGSG_00376.2,UNCHANGED,
            FGSG_00377.3,FGSG_00377.2,UNCHANGED,
            FGSG_00378.3,FGSG_00378.2,UNCHANGED,
            FGSG_00379.3,FGSG_00379.2,UNCHANGED,
            FGSG_00380.3,FGSG_00380.2,UNCHANGED,
            FGSG_00381.3,FGSG_00381.2,UNCHANGED,
            FGSG_00382.3,FGSG_00382.2,UNCHANGED,
            FGSG_00383.3,FGSG_00383.2,UNCHANGED,
            FGSG_00384.3,FGSG_00384.2,UNCHANGED,
            FGSG_00385.3,FGSG_00385.2,UNCHANGED,
            FGSG_00386.3,FGSG_00386.2,UNCHANGED,
            FGSG_00387.3,FGSG_00387.2,UNCHANGED,
            FGSG_00388.3,FGSG_00388.2,UNCHANGED,
            FGSG_00389.3,FGSG_00389.2,UNCHANGED,
            FGSG_00390.3,FGSG_00390.2,UNCHANGED,
            FGSG_00391.3,FGSG_00391.2,UNCHANGED,
            FGSG_00392.3,FGSG_00392.2,UNCHANGED,
            FGSG_00393.3,FGSG_00393.2,UNCHANGED,
            FGSG_00394.3,FGSG_00394.2,UNCHANGED,
            FGSG_00395.3,FGSG_00395.2,UNCHANGED,
            FGSG_00396.3,FGSG_00396.2,UNCHANGED,
            FGSG_00397.3,FGSG_00397.2,UNCHANGED,
            FGSG_00398.3,FGSG_00398.2,UNCHANGED,
            FGSG_00399.3,FGSG_00399.2,UNCHANGED,
            FGSG_00401.3,,DELETE,
            FGSG_00402.3,FGSG_00402.2,UNCHANGED,
            FGSG_00403.3,FGSG_00403.2,UNCHANGED,
            FGSG_00404.3,FGSG_00404.2,UNCHANGED,
            FGSG_00405.3,FGSG_00405.2,UNCHANGED,
            FGSG_00406.3,FGSG_00406.2,UNCHANGED,
            FGSG_00407.3,FGSG_00407.2,UNCHANGED,
            FGSG_00408.3,FGSG_00408.2,UNCHANGED,
            FGSG_00409.3,FGSG_00409.2,UNCHANGED,
            FGSG_00410.3,FGSG_00410.2,UNCHANGED,
            FGSG_00411.3,FGSG_00411.2,UNCHANGED,
            FGSG_00412.3,FGSG_00412.2,UNCHANGED,
            FGSG_00413.3,FGSG_00413.2,UNCHANGED,
            FGSG_00414.3,FGSG_00414.2,UNCHANGED,
            FGSG_00415.3,FGSG_00415.2,UNCHANGED,
            FGSG_00416.3,FGSG_00416.2,UNCHANGED,
            FGSG_00417.3,FGSG_00417.2,UNCHANGED,
            FGSG_00418.3,FGSG_00418.2,UNCHANGED,
            FGSG_00419.3,FGSG_00419.2,UNCHANGED,
            FGSG_00420.3,FGSG_00420.2,UNCHANGED,
            FGSG_00421.3,FGSG_00421.2,UNCHANGED,
            FGSG_00422.3,FGSG_00422.2,UNCHANGED,
            FGSG_00423.3,FGSG_00423.2,UNCHANGED,
            FGSG_00424.3,FGSG_00424.2,UNCHANGED,
            FGSG_00425.3,FGSG_00425.2,UNCHANGED,
            FGSG_00426.3,FGSG_00426.2,UNCHANGED,
            FGSG_00427.3,FGSG_00427.2,UNCHANGED,
            FGSG_00428.3,FGSG_00428.2,UNCHANGED,
            FGSG_00429.3,FGSG_00429.2,UNCHANGED,
            FGSG_00430.3,FGSG_00430.2,UNCHANGED,
            FGSG_00431.3,FGSG_00431.2,UNCHANGED,
            FGSG_00432.3,FGSG_00432.2,UNCHANGED,
            FGSG_00433.3,FGSG_00433.2,UNCHANGED,
            FGSG_00434.3,FGSG_00434.2,UNCHANGED,
            FGSG_00435.3,FGSG_00435.2,UNCHANGED,
            FGSG_00436.3,FGSG_00436.2,UNCHANGED,
            FGSG_00437.3,FGSG_00437.2,UNCHANGED,
            FGSG_00438.3,FGSG_00438.2,UNCHANGED,
            FGSG_00439.3,FGSG_00439.2,UNCHANGED,
            FGSG_00440.3,FGSG_00440.2,UNCHANGED,
            FGSG_00441.3,FGSG_00441.2,UNCHANGED,
            FGSG_00442.3,FGSG_00442.2,UNCHANGED,
            FGSG_00443.3,FGSG_00443.2,UNCHANGED,
            FGSG_00444.3,FGSG_00444.2,UNCHANGED,
            FGSG_00445.3,FGSG_00445.2,UNCHANGED,
            FGSG_00446.3,FGSG_00446.2,UNCHANGED,
            FGSG_00447.3,FGSG_00447.2,UNCHANGED,
            FGSG_00448.3,FGSG_00448.2,UNCHANGED,
            FGSG_00449.3,FGSG_00449.2,UNCHANGED,
            FGSG_00450.3,FGSG_00450.2,UNCHANGED,
            FGSG_00451.3,FGSG_00451.2,UNCHANGED,
            FGSG_00452.3,FGSG_00452.2,UNCHANGED,
            FGSG_00453.3,FGSG_00453.2,UNCHANGED,
            FGSG_00454.3,FGSG_00454.2,UNCHANGED,
            FGSG_00455.3,FGSG_00455.2,UNCHANGED,
            FGSG_00456.3,FGSG_00456.2,UNCHANGED,
            FGSG_00457.3,FGSG_00457.2,UNCHANGED,
            FGSG_00458.3,FGSG_00458.2,UNCHANGED,
            FGSG_00459.3,FGSG_00459.2,UNCHANGED,
            FGSG_00460.3,FGSG_00460.2,UNCHANGED,
            FGSG_00461.3,FGSG_00461.2,UNCHANGED,
            FGSG_00462.3,FGSG_00462.2,UNCHANGED,
            FGSG_00463.3,FGSG_00463.2,UNCHANGED,
            FGSG_00464.3,FGSG_00464.2,UNCHANGED,
            FGSG_00465.3,FGSG_00465.2,UNCHANGED,
            FGSG_00466.3,FGSG_00466.2,UNCHANGED,
            FGSG_00467.3,FGSG_00467.2,UNCHANGED,
            FGSG_00468.3,FGSG_00468.2,UNCHANGED,
            FGSG_00469.3,FGSG_00469.2,UNCHANGED,
            FGSG_00470.3,FGSG_00470.2,UNCHANGED,
            FGSG_00471.3,FGSG_00471.2,UNCHANGED,
            FGSG_00472.3,FGSG_00472.2,UNCHANGED,
            FGSG_00473.3,FGSG_00473.2,UNCHANGED,
            FGSG_00474.3,FGSG_00474.2,UNCHANGED,
            FGSG_00475.3,FGSG_00475.2,UNCHANGED,
            FGSG_00476.3,FGSG_00476.2,UNCHANGED,
            FGSG_00477.3,FGSG_00477.2,UNCHANGED,
            FGSG_00478.3,FGSG_00478.2,UNCHANGED,
            FGSG_00479.3,FGSG_00479.2,UNCHANGED,
            FGSG_00480.3,FGSG_00480.2,UNCHANGED,
            FGSG_00481.3,FGSG_00481.2,UNCHANGED,
            FGSG_00482.3,FGSG_00482.2,UNCHANGED,
            FGSG_00483.3,FGSG_00483.2,UNCHANGED,
            FGSG_00484.3,FGSG_00484.2,UNCHANGED,
            FGSG_00485.3,FGSG_00485.2,UNCHANGED,
            FGSG_00486.3,FGSG_00486.2,UNCHANGED,
            FGSG_00487.3,FGSG_00487.2,UNCHANGED,
            FGSG_00488.3,FGSG_00488.2,UNCHANGED,
            FGSG_00489.3,FGSG_00489.2,UNCHANGED,
            FGSG_00490.3,FGSG_00490.2,UNCHANGED,
            FGSG_00491.3,FGSG_00491.2,UNCHANGED,
            FGSG_00492.3,FGSG_00492.2,UNCHANGED,
            FGSG_00493.3,FGSG_00493.2,UNCHANGED,
            FGSG_00494.3,FGSG_00494.2,UNCHANGED,
            FGSG_00495.3,FGSG_00495.2,UNCHANGED,
            FGSG_00496.3,FGSG_00496.2,UNCHANGED,
            FGSG_00497.3,FGSG_00497.2,UNCHANGED,
