#OLD_LOCUS,NEW_LOCUS,UPDATE_TYPE,UPDATE_DETAIL
            FVEG_00360.3,FVEG_00360.2,UNCHANGED,
            FVEG_00361.3,FVEG_00361.2,UNCHANGED,
            FVEG_00362.3,FVEG_00362.2,UNCHANGED,
            FVEG_00363.3,FVEG_00363.2,UNCHANGED,
            FVEG_00364.3,FVEG_00364.2,UNCHANGED,
            FVEG_00365.3,FVEG_00365.2,UNCHANGED,
            FVEG_00366.3,FVEG_00366.2,UNCHANGED,
            FVEG_00367.3,FVEG_00367.2,UNCHANGED,
            FVEG_00368.3,FVEG_00368.2,UNCHANGED,
            FVEG_00369.3,FVEG_00369.2,UNCHANGED,
            FVEG_00370.3,FVEG_00370.2,UNCHANGED,
            FVEG_00371.3,FVEG_00371.2,UNCHANGED,
            FVEG_00372.3,FVEG_00372.2,UNCHANGED,
            FVEG_00373.3,FVEG_00373.2,UNCHANGED,
            FVEG_00374.3,FVEG_00374.2,UNCHANGED,
            FVEG_00375.3,FVEG_00375.2,UNCHANGED,
            FVEG_00376.3,FVEG_00376.2,UNCHANGED,
            FVEG_00377.3,FVEG_00377.2,UNCHANGED,
            FVEG_00378.3,,DELETE,
            FVEG_00379.3,FVEG_00379.2,UNCHANGED,
            FVEG_00380.3,FVEG_00380.2,UNCHANGED,
            FVEG_00381.3,FVEG_00381.2,UNCHANGED,
            FVEG_00382.3,FVEG_00382.2,UNCHANGED,
            FVEG_00383.3,FVEG_00383.2,UNCHANGED,
            FVEG_00384.3,FVEG_00384.2,UNCHANGED,
            FVEG_00385.3,FVEG_00385.2,UNCHANGED,
            FVEG_00386.3,FVEG_00386.2,UNCHANGED,
            FVEG_00387.3,FVEG_00387.2,UNCHANGED,
            FVEG_00388.3,FVEG_00388.2,UNCHANGED,
            FVEG_00389.3,FVEG_00389.2,UNCHANGED,
            FVEG_00390.3,FVEG_00390.2,UNCHANGED,
            FVEG_00391.3,FVEG_00391.2,UNCHANGED,
            FVEG_00392.3,FVEG_00392.2,UNCHANGED,
            FVEG_00393.3,FVEG_00393.2,UNCHANGED,
            FVEG_00394.3,FVEG_00394.2,UNCHANGED,
            FVEG_00395.3,FVEG_00395.2,UNCHANGED,
            FVEG_00396.3,FVEG_00396.2,UNCHANGED,
            FVEG_00397.3,FVEG_00397.2,UNCHANGED,
            FVEG_00398.3,FVEG_00398.2,UNCHANGED,
            FVEG_00399.3,FVEG_00399.2,UNCHANGED,
            FVEG_00400.3,FVEG_00400.2,UNCHANGED,
            FVEG_00401.3,FVEG_00401.2,UNCHANGED,
            FVEG_00402.3,FVEG_00402.2,UNCHANGED,
            FVEG_00403.3,FVEG_00403.2,UNCHANGED,
            FVEG_00404.3,FVEG_00404.2,UNCHANGED,
            FVEG_00405.3,FVEG_00405.2,UNCHANGED,
            FVEG_00406.3,FVEG_00406.2,UNCHANGED,
            FVEG_00407.3,FVEG_00407.2,UNCHANGED,
            FVEG_00408.3,FVEG_00408.2,UNCHANGED,
            FVEG_00409.3,FVEG_00409.2,UNCHANGED,
            FVEG_00410.3,FVEG_00410.2,UNCHANGED,
            FVEG_00411.3,FVEG_00411.2,UNCHANGED,
            FVEG_00412.3,FVEG_00412.2,UNCHANGED,
            FVEG_00413.3,FVEG_00413.2,UNCHANGED,
            FVEG_00414.3,FVEG_00414.2,UNCHANGED,
            FVEG_00415.3,FVEG_00415.2,UNCHANGED,
            FVEG_00416.3,FVEG_00416.2,UNCHANGED,
            FVEG_00417.3,FVEG_00417.2,UNCHANGED,
            FVEG_00418.3,FVEG_00418.2,UNCHANGED,
            FVEG_00419.3,FVEG_00419.2,UNCHANGED,
            FVEG_00420.3,FVEG_00420.2,UNCHANGED,
            FVEG_00421.3,FVEG_00421.2,UNCHANGED,
            FVEG_00422.3,FVEG_00422.2,UNCHANGED,
            FVEG_00423.3,FVEG_00423.2,UNCHANGED,
            FVEG_00424.3,FVEG_00424.2,UNCHANGED,
            FVEG_00425.3,FVEG_00425.2,UNCHANGED,
            FVEG_00426.3,FVEG_00426.2,UNCHANGED,
            FVEG_00427.3,FVEG_00427.2,UNCHANGED,
            FVEG_00428.3,FVEG_00428.2,UNCHANGED,
            FVEG_00429.3,FVEG_00429.2,UNCHANGED,
            FVEG_00430.3,FVEG_00430.2,UNCHANGED,
            FVEG_00431.3,FVEG_00431.2,UNCHANGED,
            FVEG_00432.3,FVEG_00432.2,UNCHANGED,
            FVEG_00433.3,FVEG_00433.2,UNCHANGED,
            FVEG_00434.3,FVEG_00434.2,UNCHANGED,
            FVEG_00435.3,FVEG_00435.2,UNCHANGED,
            FVEG_00436.3,FVEG_00436.2,UNCHANGED,
            FVEG_00437.3,FVEG_00437.2,UNCHANGED,
            FVEG_00438.3,FVEG_00438.2,UNCHANGED,
            FVEG_00439.3,FVEG_00439.2,UNCHANGED,
            FVEG_00440.3,FVEG_00440.2,UNCHANGED,
            FVEG_00441.3,FVEG_00441.2,UNCHANGED,
            FVEG_00442.3,FVEG_00442.2,UNCHANGED,
            FVEG_00443.3,FVEG_00443.2,UNCHANGED,
            FVEG_00444.3,FVEG_00444.2,UNCHANGED,
            FVEG_00445.3,FVEG_00445.2,UNCHANGED,
            FVEG_00446.3,FVEG_00446.2,UNCHANGED,
            FVEG_00447.3,FVEG_00447.2,UNCHANGED,
            FVEG_00448.3,FVEG_00448.2,UNCHANGED,
            FVEG_00449.3,FVEG_00449.2,UNCHANGED,
            FVEG_00450.3,FVEG_00450.2,UNCHANGED,
            FVEG_00451.3,FVEG_00451.2,UNCHANGED,
            FVEG_00452.3,FVEG_00452.2,UNCHANGED,
            FVEG_00453.3,FVEG_00453.2,UNCHANGED,
            FVEG_00454.3,FVEG_00454.2,UNCHANGED,
            FVEG_00455.3,FVEG_00455.2,UNCHANGED,
            FVEG_00456.3,FVEG_00456.2,UNCHANGED,
            FVEG_00457.3,FVEG_00457.2,UNCHANGED,
            FVEG_00458.3,FVEG_00458.2,UNCHANGED,
            FVEG_00459.3,FVEG_00459.2,UNCHANGED,
            FVEG_00460.3,FVEG_00460.2,UNCHANGED,
            FVEG_00461.3,FVEG_00461.2,UNCHANGED,
            FVEG_00462.3,FVEG_00462.2,UNCHANGED,
            FVEG_00463.3,FVEG_00463.2,UNCHANGED,
            FVEG_00464.3,FVEG_00464.2,UNCHANGED,
